title,provide_salary,company_type,company_size,company_ind,attribute
大数据开发工程师,1-2.5万/月,国企,1000-5000人,石油/化工/矿产/地质,"['成都', '1年经验', '本科', '招5人']"
大数据开发工程师,0.8-1.2万/月,民营公司,50-150人,计算机软件,"['福州', '2年经验', '本科', '招1人']"
前端开发工程师-大数据,1.5-2万/月,上市公司,10000人以上,通信/电信/网络设备,"['武汉-洪山区', '3-4年经验', '本科', '招2人']"
大数据开发工程师,2-2.5万/月,民营公司,10000人以上,家具/家电/玩具/礼品,"['佛山-顺德区', '8-9年经验', '本科', '招若干人']"
Java开发工程师(大数据平台方向),,民营公司,1000-5000人,计算机软件,"['上海-浦东新区', '3-4年经验', '本科', '招1人']"
大数据开发工程师（平台方向）,2-4万/月,上市公司,1000-5000人,互联网/电子商务,"['上海-浦东新区', '5-7年经验', '本科', '招若干人']"
大数据开发工程师,,事业单位,1000-5000人,计算机服务(系统、数据服务、维修),"['上海-嘉定区', '5-7年经验', '硕士', '招2人']"
大数据开发高级工程师,,国企,1000-5000人,通信/电信/网络设备,"['武汉-江岸区', '5-7年经验', '本科', '招1人']"
大数据架构师,1.5-2万/月,外资（非欧美）,500-1000人,计算机软件,"['沈阳', '10年以上经验', '本科', '招1人']"
大数据开发工程师,2.5-3万/月,上市公司,1000-5000人,网络游戏,"['广州', '5-7年经验', '本科', '招1人']"
工业大数据算法专家,3-5万/月,民营公司,10000人以上,通信/电信运营、增值服务,"['北京-海淀区', '5-7年经验', '硕士', '招1人']"
大数据经理,2-2.5万/月,国企,5000-10000人,房地产,"['广州', '3-4年经验', '本科', '招1人']"
大数据架构师,1.5-2.5万/月,外资（非欧美）,150-500人,计算机软件,"['大连-沙河口区', '5-7年经验', '本科', '招2人']"
大数据开发工程师（无锡）,1-1.5万/月,国企,1000-5000人,电子技术/半导体/集成电路,"['无锡', '3-4年经验', '硕士', '招若干人']"
122882高级软件架构师（大数据存储）,36-72万/年,民营公司,10000人以上,电子技术/半导体/集成电路,"['深圳-南山区', '3-4年经验', '本科', '招若干人']"
大数据架构师(J16783),2-4万/月,民营公司,5000-10000人,制药/生物工程,"['武汉-洪山区', '5-7年经验', '硕士', '招1人']"
大数据开发工程师(J11768),1-1.5万/月,外资（欧美）,1000-5000人,服装/纺织/皮革,"['广州', '3-4年经验', '大专', '招1人']"
大数据开发-SPG,15-20万/年,国企,1000-5000人,保险,"['成都-高新区', '3-4年经验', '本科', '招若干人']"
大数据开发工程师,1.5-2万/月,民营公司,1000-5000人,网络游戏,"['厦门', '1年经验', '本科', '招2人']"
大数据工程师,1.5-2万/月,民营公司,10000人以上,采掘业/冶炼,"['苏州', '5-7年经验', '本科', '招2人']"
大数据开发（上海研发中心）,20-35万/年,事业单位,1000-5000人,电子技术/半导体/集成电路,"['上海-杨浦区', '2年经验', '硕士', '招2人']"
阿里云智能事业群-资深解决方案架构师-大数据及AI方向,,上市公司,10000人以上,互联网/电子商务,"['杭州', '5-7年经验', '本科', '招若干人']"
大数据开发工程师,,外资（欧美）,1000-5000人,专业服务(咨询、人力资源、财会),"['上海', '3-4年经验', '本科', '招若干人']"
应用架构师_大数据(digital),,合资,10000人以上,汽车,"['北京', '1年经验', '招1人']"
大数据工程师,2-3万/月,外资（欧美）,1000-5000人,汽车,"['北京', '5-7年经验', '本科', '招1人']"
25664-大数据开发工程师（CSIG全资子公司）（西安）,,民营公司,10000人以上,互联网/电子商务,"['武汉', '3-4年经验', '本科', '招1人']"
大数据开发工程师,2.5-3万/月,外资（欧美）,150-500人,批发/零售,"['上海', '5-7年经验', '本科', '招1人']"
大数据研发工程师,1.5-2.5万/月,上市公司,10000人以上,酒店/旅游,"['上海-闵行区', '3-4年经验', '本科', '招若干人']"
hadoop大数据开发工程师,1.5-2.5万/月,国企,50-150人,计算机软件,"['合肥-包河区', '3-4年经验', '本科', '招3人']"
大数据开发工程师（中国联通网络AI中心）,20-40万/年,国企,1000-5000人,通信/电信运营、增值服务,"['上海-长宁区', '3-4年经验', '本科', '招若干人']"
大数据工程师（智能连接部-外包）,35.9-36万/年,国企,500-1000人,通信/电信运营、增值服务,"['上海', '无需经验', '本科', '招若干人']"
大数据开发工程师,20-30万/年,国企,1000-5000人,计算机硬件,"['杭州', '3-4年经验', '本科', '招若干人']"
系统工程师（大数据） (MJ000289),1-1.5万/月,外资（非欧美）,150-500人,计算机软件,"['无锡', '3-4年经验', '本科', '招1人']"
大数据架构高级工程师,2-3万/月,国企,500-1000人,家具/家电/玩具/礼品,"['青岛', '5-7年经验', '本科', '招1人']"
大数据研发工程师,,外资（非欧美）,1000-5000人,互联网/电子商务,"['上海', '1年经验', '硕士', '招1人']"
2020信息-大数据技术专家,2-3万/月,国企,10000人以上,航天/航空,"['上海-闵行区', '5-7年经验', '本科', '招若干人']"
大数据架构师,1.5-2万/月,外资（欧美）,500-1000人,专业服务(咨询、人力资源、财会),"['大连', '5-7年经验', '本科', '招2人']"
大数据开发岗(J10680),1.5-2万/月,国企,5000-10000人,金融/投资/证券,"['上海-静安区', '3-4年经验', '本科', '招若干人']"
